city,country,freezing,cold,warm,hot,not_rainy,lightly_rainy,very_rainy,not_snowy,lightly_snowy,very_snowy,windy,low_humidity,medium_humidity,high_humidity,clear,partly_cloudy,cloudy
San Francisco,US,0,0.480284775,0.519715225,0,0.953450164,0,0.133351588,1,0,0,0.51067908,0.000547645,0.039430449,0.960021906,0.45618839,0.330503834,0.213307777
New York,US,0.069550931,0.397316539,0.389375685,0.143756846,0.934282585,0.000273823,0.232749179,0.922782037,0.066538883,0.01067908,0.293263965,0,0.246166484,0.753833516,0.382803943,0.309967141,0.307228916
London,GB,0.005750274,0.545180723,0.435651698,0.013417306,0.981106243,0.000273823,0.244797371,0.972343921,0.027108434,0.000547645,0.499726177,0,0.014512596,0.985487404,0.149233297,0.342552026,0.508214677
Berlin,DE,0.072562979,0.477820372,0.395673604,0.053943045,0.981106243,0,0.243154436,0.91456736,0.084884995,0.000547645,0.357612267,0,0.122672508,0.877327492,0.222070099,0.31626506,0.461664841
Tokyo,JP,0,0.317634173,0.496166484,0.186199343,0.909912377,0,0.286144578,0.975629792,0.02135816,0.003012048,0.515334064,0.000273823,0.168127054,0.831599124,0.374589266,0.292442497,0.332968237
